 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Escolaridade
Região Res.: Região Nordeste
UF Notificação: Bahia
Região Not.: Região Nordeste
Período:2017
"Município (Res)";"analfabeto";"1ª a 4ª série incompleta";"4ª série completa";"5ª a 8ª série incompleta";"fundamental completo";"médio incompleto";"médio completo";"superior incompleto";"superior completo";"Total"
"292460 Pindobaçu";0;0;0;0;0;0;1;0;0;1
"292510 Poções";0;1;0;1;0;0;0;0;0;2
"292520 Pojuca";0;1;0;0;0;0;0;0;0;1
"292530 Porto Seguro";2;12;6;4;1;5;6;2;1;39
"292550 Prado";0;1;0;0;0;0;0;0;0;1
"292575 Presidente Tancredo Neves";0;1;1;0;0;0;0;0;0;2
"292600 Remanso";0;2;1;0;0;0;0;0;0;3
"292620 Riachão das Neves";0;0;0;0;1;0;0;0;0;1
"292630 Riachão do Jacuípe";0;0;1;0;1;0;0;0;0;2
"292660 Ribeira do Pombal";0;0;0;0;1;0;0;0;0;1
"292740 Salvador";11;42;16;67;21;68;126;35;60;446
"292750 Santa Bárbara";0;1;0;0;0;0;0;0;0;1
"292805 Santa Luzia";0;2;0;0;0;0;0;0;0;2
"292810 Santa Maria da Vitória";0;0;0;1;0;0;0;0;0;1
"292800 Santaluz";0;0;0;1;0;0;0;0;0;1
"292820 Santana";1;0;0;0;0;0;0;0;0;1
"292860 Santo Amaro";0;0;0;0;0;2;0;0;0;2
"292870 Santo Antônio de Jesus";0;3;2;4;2;2;3;3;1;20
"292880 Santo Estêvão";0;1;0;2;0;0;0;0;0;3
"292920 São Francisco do Conde";1;1;0;0;0;0;0;0;0;2
"292930 São Gonçalo dos Campos";0;0;0;1;0;0;0;0;0;1
"292950 São Sebastião do Passé";0;0;0;0;0;1;0;0;0;1
"292960 Sapeaçu";0;0;0;0;0;0;1;0;0;1
"292975 Saubara";0;0;0;2;0;0;0;0;0;2
"293010 Senhor do Bonfim";1;2;0;2;0;0;0;0;0;5
"293050 Serrinha";2;2;0;3;1;1;1;1;0;11
"293070 Simões Filho";0;0;3;3;1;4;6;1;0;18
"293077 Sobradinho";0;0;0;2;0;0;0;0;0;2
"293120 Taperoá";0;0;0;0;0;1;0;0;0;1
"293135 Teixeira de Freitas";1;8;2;20;1;2;1;1;2;38
"293160 Teolândia";0;1;0;2;0;0;0;0;0;3
"293190 Tucano";0;0;0;0;0;0;0;0;1;1
"293200 Uauá";0;0;0;0;0;1;0;0;0;1
"293220 Ubaitaba";0;0;0;0;0;1;0;0;0;1
"293230 Ubatã";0;0;0;0;0;1;0;0;0;1
"293250 Una";0;0;0;2;1;0;0;0;0;3
"293290 Valença";0;4;1;0;1;0;1;0;0;7
"293305 Várzea da Roça";1;0;0;0;0;0;0;0;0;1
"293317 Varzedo";0;0;0;1;0;0;0;0;0;1
"293320 Vera Cruz";0;0;0;2;0;0;0;0;0;2
"293330 Vitória da Conquista";6;4;5;14;9;6;12;3;6;65
"293350 Wenceslau Guimarães";0;1;0;1;0;0;0;0;0;2
"290000 Município ignorado - BA";0;0;0;0;0;1;0;0;0;1
"Total";65;170;73;262;81;175;251;66;101;1244
