 Casos de aids identificados no Brasil
Freqüência por Município (Res) e Sexo
UF Residência: Rio de Janeiro
Período:2025
"Município (Res)";"Masculino";"Feminino";"Ignorado";"Total"
"330010 Angra dos Reis";21;6;0;27
"330020 Araruama";7;5;0;12
"330022 Areal";0;1;0;1
"330023 Armação dos Búzios";10;1;1;12
"330025 Arraial do Cabo";11;3;0;14
"330030 Barra do Piraí";6;3;0;9
"330040 Barra Mansa";23;2;0;25
"330045 Belford Roxo";33;19;0;52
"330060 Bom Jesus do Itabapoana";5;3;0;8
"330070 Cabo Frio";32;10;0;42
"330080 Cachoeiras de Macacu";6;1;0;7
"330100 Campos dos Goytacazes";48;32;3;83
"330110 Cantagalo";1;1;0;2
"330093 Carapebus";1;0;0;1
"330115 Cardoso Moreira";1;0;0;1
"330130 Casimiro de Abreu";3;2;0;5
"330170 Duque de Caxias";53;36;0;89
"330185 Guapimirim";3;1;0;4
"330187 Iguaba Grande";2;1;0;3
"330190 Itaboraí";14;13;1;28
"330200 Itaguaí";4;4;0;8
"330220 Itaperuna";11;2;0;13
"330225 Itatiaia";0;1;0;1
"330227 Japeri";24;7;0;31
"330230 Laje do Muriaé";1;0;0;1
"330240 Macaé";29;11;0;40
"330245 Macuco";1;0;0;1
"330250 Magé";35;14;0;49
"330260 Mangaratiba";4;5;0;9
"330270 Maricá";24;13;0;37
"330285 Mesquita";16;7;0;23
"330290 Miguel Pereira";1;0;0;1
"330300 Miracema";1;0;0;1
"330310 Natividade";1;0;0;1
"330320 Nilópolis";6;4;0;10
"330330 Niterói";55;20;0;75
"330340 Nova Friburgo";16;7;1;24
"330350 Nova Iguaçu";145;91;1;237
"330360 Paracambi";3;0;0;3
"330370 Paraíba do Sul";4;0;0;4
"330380 Parati";2;0;0;2
"330385 Paty do Alferes";4;0;0;4
"330390 Petrópolis";29;11;0;40
"330395 Pinheiral";2;2;0;4
"330400 Piraí";4;2;0;6
"330410 Porciúncula";0;1;0;1
"330411 Porto Real";2;2;0;4
"330414 Queimados";15;9;0;24
"330415 Quissamã";1;3;0;4
"330420 Resende";5;5;0;10
"330430 Rio Bonito";12;1;0;13
"330450 Rio das Flores";1;0;0;1
"330452 Rio das Ostras";17;10;0;27
"330455 Rio de Janeiro";736;327;6;1069
"330470 Santo Antônio de Pádua";2;1;0;3
"330475 São Francisco de Itabapoana";1;0;0;1
"330490 São Gonçalo";112;72;0;184
"330500 São João da Barra";3;2;0;5
"330510 São João de Meriti";32;26;0;58
"330520 São Pedro da Aldeia";4;4;0;8
"330540 Sapucaia";1;0;0;1
"330550 Saquarema";13;5;0;18
"330555 Seropédica";4;1;0;5
"330570 Sumidouro";0;1;0;1
"330575 Tanguá";1;2;0;3
"330580 Teresópolis";5;4;0;9
"330600 Três Rios";8;5;0;13
"330610 Valença";0;1;0;1
"330620 Vassouras";3;4;0;7
"330630 Volta Redonda";35;17;0;52
"Total";1715;844;13;2572
